name,location,rating
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Tooting Bec Rooms at Fishponds by DC London Rooms</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Wandsworth, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">18 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Large 4 bed house near Borough Market</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Southwark, London</span>",
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Spacious 2 Bedroom Apartment</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Southwark, London</span>",
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Modern Contemporary 2BDR flat in Hackney</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Hackney, London</span>",
"<div class=""f6431b446c a23c043802"" data-testid=""title"">The Waterloo Collection</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Southwark, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">1 review</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Central London Luxury Studios Fulham Close to Underground Newly Refurbished</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Hammersmith and Fulham, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">115 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">The Wembley Central Collection</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Brent, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">2 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">GreenCroft 3 bedroom apartment</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Camden, London</span>",
"<div class=""f6431b446c a23c043802"" data-testid=""title"">1 BDR in heart of Fitzrovia/Near Oxford street!</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Westminster Borough, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">3 external reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Notting Hill, Portobello, Kensington Chelsea</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Kensington and Chelsea, London</span>",
